label,features
5,0.02081469966280521
5,0.04322257388858288
3,0.01096517232087263
1,0.0011588955003224975
3,0.011315188999772376
2,0.007465307844590714
5,0.003477397234299383
3,0.045982971631391936
5,0.004327148769972427
1,0.0037501486116729562
2,0.004383802032413857
1,0.01253231649501342
3,0.02812057027416877
2,0.05954990255337074
1,0.027572941850223298
1,0.05008847311006764
4,0.02207447747808617
2,0.013300089670414137
5,0.013755098396724568
2,0.16621029481197086
5,0.008404949836623841
3,0.06791801332089634
5,0.021420793821012703
1,0.05348066404973045
0,0.033138694502038116
3,0.06114737771661442
1,0.007636372951808691
4,0.0031216696189095656
5,0.02652046523608275
2,0.026031045176805236
2,0.011985781101826845
2,0.058988566477376526
2,0.0012359043451617726
2,0.0849045118636404
4,0.10091677695778024
1,0.0753603800544675
2,0.017219142151839506
4,0.01486613589814211
3,0.017400066305212097
1,0.006402603861370379
0,0.05212977739815578
2,0.010866101880833914
5,0.06465811667270169
1,0.012493198423426631
2,0.02148668008597137
2,0.02079054554395952
3,0.008198536262132475
0,0.033692242777764884
1,0.02027893903187321
2,0.008182606383397883
1,0.04259115814372585
4,0.019944619440383574
5,0.012882432891463928
0,0.025259588069916426
1,0.04648601858554679
1,0.05007249723485716
0,0.07242257460642285
3,0.03129543664324868
3,0.008198536262132475
0,0.05741671591573419
1,0.13391056876185134
3,0.02511845753942524
5,0.017565413804695403
2,0.007842636598855776
0,0.05561594686264189
4,0.05974695707393386
4,0.019243324164001527
2,0.009143489618216346
5,0.019344879115974076
5,0.1121593584838897
1,0.0030751692885029928
2,0.0561101842627521
0,0.012878579369915908
5,0.01754244014502461
0,0.03579162727240117
4,0.03481398797787294
5,0.015432764026689546
5,0.02402380953038296
5,0.016503137132247186
3,0.008862109161520297
4,0.026240420432777925
4,0.0058704428935737315
2,0.011118293535725084
1,0.002966508407684081
1,0.0213318566503932
4,0.019944619440383574
2,0.012061790102660643
5,0.025322537933899603
4,0.006322977290376289
5,0.026528003742473282
2,0.0016263312103906025
0,0.02641922734378746
3,0.016872827311452822
5,0.0423935155002841
0,0.021127289606181654
0,0.014600123882280403
3,0.023475941994986524
3,0.014557857334363673
2,0.037523496413569266
3,0.02974725846636875
1,0.004897443274101136
2,0.0046678355377492535
2,0.05599976814236885
1,0.04512991256287312
1,0.014005699486457421
5,0.032603395591455614
5,0.02247464681824829
5,0.035292453151291835
2,0.039603541321247465
4,0.016603460010678767
5,0.00797131437351807
5,0.005000223277251911
3,0.034762324455269215
0,0.015130999406579347
0,0.20823853884946164
2,0.00491266600090883
5,0.00784304178918529
1,0.004459339481590342
5,0.020434597777498117
3,0.016872827311452822
3,0.009380231021747376
0,0.02442107371908373
2,0.014727112778706159
5,0.10470534516173104
4,0.003358486161721805
5,0.00960319560295679
0,0.10859399256812673
3,0.06791801332089634
2,0.015304787434945838
4,0.015534566868066459
3,0.03129543664324868
2,0.03930655506785681
5,0.00961377795247258
1,0.07163084534280541
5,0.001518673122969518
3,0.008862109161520297
0,0.04658616450043759
4,0.0042395486572166935
5,0.007664933252149246
0,0.04719338118332745
5,0.02733151477516075
2,0.002844862124823216
1,0.0806473694841757
5,0.00135517812277435
0,0.01911502454357224
1,0.022375927496346072
2,0.02044362151360601
1,0.032326136910563866
5,0.012227509787368637
2,0.003199841507464164
2,0.1669488823456299
5,0.027093307453409862
5,0.03293774959252264
2,0.012062994788986951
2,0.0023900050815477514
4,0.02810863401311866
3,0.02511845753942524
1,0.04437553875779729
2,0.0017933574056844895
2,0.003412881032309308
2,0.02897966857463528
2,0.0561381648670493
3,0.03512874080897019
4,0.0058704428935737315
2,0.0030584613319779297
3,0.04365747056803493
0,0.011611160521748563
2,0.004335042256798947
3,0.009380231021747376
2,0.008116504883021536
5,0.020345975559847046
3,0.01338047044316542
1,0.02014174594016468
5,0.008548701112885821
2,0.0009730283058243463
3,0.012224137648785749
0,0.026562286917320543
2,0.017114530014252505
3,0.008862109161520297
2,0.03076828191784216
3,0.007336287378627203
2,0.0017790970936889254
5,0.021972507153358148
2,0.002285902065258667
0,0.0131616718786455
1,0.010101030910611658
2,0.015891151913945592
2,0.03692877953633858
2,0.023175385572384
4,0.002258072090642021
4,0.01387775238863717
3,0.02291692821434709
1,0.04097652910392375
5,0.03562533070059491
3,0.014557857334363673
2,0.016961716378887624
4,0.02207447747808617
5,0.010768468567327869
2,0.03093149918359137
2,0.01630137727753691
1,0.020878097553530543
2,0.031492456051998165
3,0.04365747056803493
3,0.012224137648785749
5,0.04142182765816944
2,0.0065177625344232494
1,0.034464186534390866
0,0.012606220893737074
4,0.02207447747808617
1,0.014599217997488248
1,0.056550777833968766
3,0.03129543664324868
1,0.0016171199771978213
3,0.017474284252431638
5,0.009571511053437716
2,0.010211381723021514
3,0.02291692821434709
3,0.013137836223949607
4,0.006822661937256069
0,0.015867377002687325
2,0.023230243918911674
2,0.012396982222719477
3,0.03129543664324868
5,0.01520866638725367
2,0.1588181555278251
3,0.007336287378627203
2,0.028260515429831164
2,0.021279979296844352
4,0.01387775238863717
5,0.01619645088921775
2,0.02933798112174597
2,0.0031398122441403443
4,0.06838666825358161
0,0.043358051065958365
1,0.030567159693667762
3,0.024161731894461004
2,0.010899717931221844
2,0.02099525163095312
1,0.026863925486019742
1,0.027588211977979414
2,0.04207269534778823
5,0.022738797556868445
0,0.02896971086428432
5,0.017839926039523498
2,0.028619572347391212
3,0.034762324455269215
2,0.02181224489784568
2,0.017007115953936287
2,0.13544047826208952
1,0.03660373894384205
2,0.013489701539837995
2,0.029161414344447262
3,0.011315188999772376
5,0.02941759715919597
5,0.025221960143700917
3,0.008862109161520297
5,0.02818011288775541
2,0.006485856429360044
4,0.00188836259993888
2,0.0007561323100388357
5,0.0065250503424643174
5,0.01800356991380854
3,0.0070011703978495815
0,0.08788699358337257
2,0.018013708449999798
1,0.06736921567355633
2,0.03112611343310585
5,0.052377759848826665
0,0.034373668278802734
5,0.00795256922956507
0,0.01666202651584596
3,0.009380231021747376
4,0.014651284252594526
0,0.02986999005538952
2,0.047068460372725635
5,0.015256367190568913
0,0.08634393822010407
2,0.016237486065829792
2,0.021439081458033846
5,0.11137508696949144
4,0.0037725102724318455
4,0.01387775238863717
3,0.018671117470501472
2,0.004700072044978898
2,0.0009140334716424505
5,0.0072203587035010045
4,0.03188404406490437
0,0.0752343356658289
2,0.005516718758270747
0,0.09597521403957338
5,0.0021740702365490787
1,0.035524872290562635
1,0.02388475832149609
2,0.036748775312483606
1,0.04829994403521351
0,0.04264060786647897
