,wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
0,Ses01M_impro07_F000,5,0.014169703999999998,0.024095565,0.017927699,0.016221065,0.3950617283950617,-0.003790260052483063,0.4314163595306895,0.5031852406694207
1,Ses01M_impro07_F001,1,0.14226286,0.23140748,0.17003636,0.1568562,0.3802588996763754,1.4182147569954395,38.2042231298035,131.13475695370994
3,Ses01M_impro07_F003,1,0.070579454,0.12513891,0.08775619400000001,0.08913436,0.350210970464135,0.0072673433351155845,11.892060658617936,24.322969562102923
4,Ses01M_impro07_F004,1,0.14177571,0.22262722,0.17104131,0.14222325,0.2887029288702929,1.605988130904734,34.542934680031465,68.22041666393342
5,Ses01M_impro07_F005,1,0.09163188,0.15924667,0.11194052,0.11319051,0.3562091503267974,0.6249993457458913,19.069037016513477,49.30330828356159
6,Ses01M_impro07_F006,1,0.051564094000000005,0.092144586,0.06432896,0.06582158,0.3275862068965517,-0.01215590782521758,6.49855367881114,18.21332482530947
7,Ses01M_impro07_F007,1,0.06002683599999999,0.11271756,0.0743522,0.084589206,0.3445378151260504,-0.17175603716168553,9.9679104487808,20.28169049461162
8,Ses01M_impro07_F008,1,0.026283288,0.038642477,0.033412147,0.019448638,0.14150943396226415,0.0036297353744885186,0.9882442899554934,1.8769659716046827
9,Ses01M_impro07_F009,1,0.06646912,0.10620981,0.08233012,0.06698742,0.2389791183294664,0.006592877070943359,8.022939164303095,16.039784632263437
10,Ses01M_impro07_F010,5,0.028139042000000003,0.03945171,0.035053547000000004,0.018221404,0.13709677419354838,-0.01578023329784628,0.9823907035325028,1.7356100195691908
11,Ses01M_impro07_F011,1,0.014475211000000002,0.025234753,0.018144136,0.017516928,0.3735408560311284,-0.0028374340672598923,0.4809402094301772,1.7174780715625573
12,Ses01M_impro07_F012,5,0.016615065,0.026568547,0.020322174,0.017093468,0.259375,-9.550528545787528e-05,0.5030173486515148,2.238432639088668
13,Ses01M_impro07_F013,1,0.015193617,0.023993697,0.019096578,0.0145181315,0.17123287671232876,-0.004936697678203927,0.4070501974220703,1.1881728751428695
14,Ses01M_impro07_F014,1,0.03182754,0.06671594,0.03999532,0.053378697,0.41194644696189503,-0.008437318683718331,3.694479661815785,10.216817859969103
15,Ses01M_impro07_F015,1,0.027981756,0.04425252,0.035009097,0.027003456000000002,0.2782608695652174,-0.008694910320627969,1.37856591032996,3.4272868685369913
16,Ses01M_impro07_F016,1,0.014781066,0.027565647000000002,0.018714037,0.020222323,0.3420074349442379,-0.006483186098193983,0.5981261030259412,1.3247119109819936
18,Ses01M_impro07_F018,1,0.023964526,0.040209863,0.030156903,0.026544405,0.28536585365853656,-0.003429729986237362,1.1912813741032533,2.7783265437746087
20,Ses01M_impro07_F020,5,0.010948476,0.0180736,0.01367173,0.011790021999999999,0.2937853107344633,-0.002810654450513539,0.2387655510241271,0.6383609486936722
21,Ses01M_impro07_F021,1,0.016552817,0.025723443999999998,0.020689208,0.015269902,0.25559105431309903,-0.005628649887512438,0.4599537658819508,1.83798570415321
22,Ses01M_impro07_F022,1,0.047669113,0.07198942,0.05942914,0.040518302,0.21365638766519826,-0.0031836011658015195,3.523992544869776,8.649887268940386
23,Ses01M_impro07_F023,1,0.016028566,0.022972853999999997,0.019678268999999998,0.011843303999999999,0.1822033898305085,-0.002505806605768157,0.3407843101325358,0.7756512362564897
24,Ses01M_impro07_F024,1,0.014847491,0.023235707999999997,0.018847996000000002,0.013630496,0.2930232558139535,-0.008319252629007678,0.3769915632414278,0.9220438404703246
25,Ses01M_impro07_F025,1,0.033447042,0.0582538,0.042157397,0.040173996000000003,0.2958199356913183,-0.0040540371628594585,2.558418814007976,5.05164856719117
26,Ses01M_impro07_F026,1,0.13862053,0.21021488,0.16900642,0.124850824,0.2850779510022272,0.026561354388832115,29.82717487543682,60.26961244359481
27,Ses01M_impro07_F027,1,0.042449124000000005,0.08390008,0.052721377,0.06526329,0.2877122877122877,-0.00879193794389721,5.698883805508169,21.219036776009577
33,Ses01M_impro07_F033,1,0.009466344,0.016108578000000002,0.011844071999999999,0.010885497,0.27586206896551724,-0.00512457154400181,0.1938708723518495,0.5043688858600435
34,Ses01M_impro07_F034,1,0.02591478,0.044586685,0.032498978,0.030517759,0.32094594594594594,-0.002924842419815832,1.4904667254237671,7.629032217638644
35,Ses01M_impro07_M000,1,0.012269307,0.019516567,0.015353091999999999,0.012032278,0.3063457330415755,-0.004801348040928133,0.2702768948627861,0.8545222454441378
36,Ses01M_impro07_M001,1,0.014505075,0.0280698,0.018536983,0.021066408999999998,0.3463587921847247,-0.005203870841796743,0.6321723719160584,1.8208987661577785
37,Ses01M_impro07_M002,1,0.18857205,0.27004212,0.22430246,0.15031433,0.2307692307692308,1.9748427439481018,46.770910576657656,139.26082541344437
